id,age,year,sitetype,site,Reading Group - Minutes,Story Wrtiting - Minutes
102575,15,2016,Main,Nelson ,41.6,80.91
102576,17,2015,Branch,Korczak,42.876,2.04
102577,17,2015,Branch,Wang,35.616,24.255
102578,14,2014,Branch,Aiello,99.18,12.259
102579,10,2016,Branch,Tryad,9.425,123.664
102580,9,2014,Branch,Pallow,30.037,155.1
102581,11,2016,Branch,Dundy,118.424,49.28
102582,12,2014,Main,Nelson ,117.593,125.568
102583,14,2015,Branch,Korczak,103.418,181.424
102584,17,2016,Branch,Wang,169.32,9.348
102585,10,2014,Branch,Aiello,174.708,61.256
102586,13,2014,Branch,Tryad,6.162,5.307
102587,16,2015,Branch,Pallow,38.532,217.638
102588,9,2015,Branch,Dundy,60.809,2.439
102589,17,2014,Main,Nelson ,62.88,68.529
102590,9,2016,Branch,Korczak,57.6,157.358
102591,13,2015,Branch,Wang,18.468,36.66
102592,14,2014,Branch,Aiello,19.89,26.866
102593,16,2016,Branch,Tryad,12.36,102.704
102594,8,2015,Branch,Pallow,49.248,106.496
102595,9,2014,Branch,Dundy,6.822,2.208
102596,12,2016,Main,Nelson ,170.015,34.568
102597,16,2014,Branch,Korczak,122.36,51.98
102598,8,2015,Branch,Wang,12.416,50.562
102599,11,2015,Branch,Aiello,23.133,70.143
102600,17,2016,Branch,Tryad,144.995,3.036
102601,12,2015,Branch,Pallow,176.904,3.465
102602,13,2015,Branch,Dundy,37.734,100.326
102603,10,2014,Main,Nelson ,0,20.628
102604,15,2014,Branch,Korczak,65.7,4.616
102605,16,2014,Branch,Wang,30.104,16.095
102606,10,2016,Branch,Aiello,37.548,89.019
102607,12,2015,Branch,Tryad,25.898,108.3
102608,10,2014,Branch,Pallow,44.37,50.827
102609,11,2015,Branch,Dundy,55.488,58.9
102610,8,2014,Main,Nelson ,23.596,37
102611,9,2015,Branch,Korczak,12.103,34.528
102612,15,2016,Branch,Wang,27.26,44.682
102613,15,2016,Branch,Aiello,59.182,66.36
102614,16,2016,Branch,Tryad,22.99,74.052
102615,12,2015,Branch,Pallow,9.735,180.061
102616,14,2014,Branch,Dundy,100.864,12.19
102617,15,2014,Main,Nelson ,30.463,13.141
102618,15,2016,Branch,Korczak,12.644,151.501
102619,15,2015,Branch,Wang,111.55,18.85
102620,13,2015,Branch,Aiello,56.588,46.9
102621,8,2015,Branch,Tryad,54.999,1.896
102622,17,2014,Branch,Pallow,97.944,157.17
102623,13,2014,Branch,Dundy,16.98,79.002
102624,17,2015,Main,Nelson ,39.2,83.414
102625,16,2015,Branch,Korczak,65.096,27.448
102626,16,2014,Branch,Wang,24.534,0.216
102627,15,2015,Branch,Aiello,73.659,36.72
102628,8,2014,Branch,Tryad,17.578,62.111
102629,15,2015,Branch,Pallow,10.368,73.008
102630,10,2014,Branch,Dundy,3.899,16.524
102631,17,2016,Main,Nelson ,27.72,12.544
102632,8,2014,Branch,Korczak,53.96,2.175
102633,16,2015,Branch,Wang,0.66,71.205
102634,13,2014,Branch,Aiello,4.823,5.475
102635,9,2014,Branch,Tryad,98.672,94.248
102636,15,2015,Branch,Pallow,18.72,72.979
102637,15,2014,Branch,Dundy,26.064,72.512
102638,8,2015,Main,Nelson ,41.31,105.436
102639,12,2014,Branch,Korczak,42.34,75.891
102640,8,2016,Branch,Wang,172.928,75.36
102641,11,2016,Branch,Aiello,166.803,155.23
102642,9,2015,Branch,Tryad,113.28,43.757
102643,8,2016,Branch,Pallow,62.28,114.028
102644,10,2014,Branch,Dundy,43.529,17.96
102645,11,2014,Main,Nelson ,23.946,1.35
102646,11,2015,Branch,Korczak,45.123,2.628
102647,11,2016,Branch,Wang,21.406,45.144
102648,17,2014,Branch,Aiello,76.16,116.18
102649,13,2015,Branch,Tryad,45.368,19.313
102650,14,2015,Branch,Pallow,59.472,13.847
102651,8,2015,Branch,Dundy,29.26,57.6
102652,14,2014,Main,Nelson ,10.816,18.565
102653,11,2014,Branch,Korczak,76.526,0.828
102654,15,2014,Branch,Wang,81.176,111.042
102655,8,2014,Branch,Aiello,37.18,29.225
102656,10,2015,Branch,Tryad,0.053,51.315
102657,8,2015,Branch,Pallow,7.416,15.714
102658,16,2014,Branch,Dundy,7.832,55.341
102659,9,2015,Main,Nelson ,133.824,20.271
102660,10,2014,Branch,Korczak,27.36,43.739
102661,10,2014,Branch,Wang,31.734,127.596
102662,8,2014,Branch,Aiello,104.94,96.514
102663,11,2016,Branch,Tryad,173.442,20.064
102664,15,2015,Branch,Pallow,59.04,174.3
102665,15,2016,Branch,Dundy,18.468,19.952
102666,14,2015,Main,Nelson ,7.175,2.577
102667,8,2016,Branch,Korczak,13.293,148.8
102668,10,2015,Branch,Wang,133.322,54.912
102669,12,2015,Branch,Aiello,136.896,6.48
102670,13,2016,Branch,Tryad,6.435,1.184
102671,17,2014,Branch,Pallow,149.211,35.139
102672,9,2015,Branch,Dundy,7.245,103.4
102673,10,2014,Main,Nelson ,36.966,14.196
102674,12,2016,Branch,Korczak,70.065,82.344
102675,16,2016,Branch,Wang,12.18,216.132
102676,9,2016,Branch,Aiello,150,0.512
102677,11,2016,Branch,Tryad,133.786,53.9
102678,17,2016,Branch,Pallow,42.265,58.241
102679,9,2015,Branch,Dundy,155.832,9.204
102680,12,2015,Main,Nelson ,22.032,167.297
102681,9,2015,Branch,Korczak,14.32,75.858
102682,8,2015,Branch,Wang,29.064,28.884
102683,10,2015,Branch,Aiello,5.644,123.69
102684,9,2015,Branch,Tryad,10.764,11.661
102685,9,2016,Branch,Pallow,78.585,124.616
102686,14,2014,Branch,Dundy,38.745,8.055
102687,9,2014,Main,Nelson ,66.368,152.856
